id,user_id,service,album_id,name,artist_name,release_date,image_url,tracks,external_url,synced_at,created_at,updated_at,album_type,added_at,upc
90a13590-937b-4ba6-8c5f-a0a094b20d58,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0NQ6Dn9si4mgFKoRoBGkn8,Three,Phantogram,2016-10-07,https://i.scdn.co/image/ab67616d0000b273d99618fc2eed49eb1b67d6af,10,https://open.spotify.com/album/0NQ6Dn9si4mgFKoRoBGkn8,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,00602547957702
4b8edea7-069d-4796-9946-9a886b4e6ec2,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0O9TQ88Zb6NE6oa6Gkb0S9,Post-American,MSPAINT,2023-03-10,https://i.scdn.co/image/ab67616d0000b27319e9ca497edd9b531cd42404,11,https://open.spotify.com/album/0O9TQ88Zb6NE6oa6Gkb0S9,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,197632103800
6c09362c-01fe-4749-b4ad-937c38f33c54,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0OSYZ7EMRs14RPvwowd13F,Waiting on a Song,Dan Auerbach,2017-06-02,https://i.scdn.co/image/ab67616d0000b273b2d7362dc639856d9d046205,10,https://open.spotify.com/album/0OSYZ7EMRs14RPvwowd13F,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,075597937510
01ba2e5e-3bff-4366-b570-14b2ff0a3dc4,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0Q6KFth9qxni5rsmqtcTKO,Screen Violence,CHVRCHES,2021-08-27,https://i.scdn.co/image/ab67616d0000b273533b1dfaecaa454f7514e6f9,10,https://open.spotify.com/album/0Q6KFth9qxni5rsmqtcTKO,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,5056167164074
17cda362-9cd9-4766-814b-8a36e27652d8,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0Q06qPDtdCSdZElKGYw3ww,OPERATOR,MSTRKRFT,2016-07-22,https://i.scdn.co/image/ab67616d0000b273796e1b70013c9e173e3a01af,10,https://open.spotify.com/album/0Q06qPDtdCSdZElKGYw3ww,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,060270178526
394df469-7d09-4177-a00a-49ab9f8086e7,96b71fbe-364c-49b7-aace-fba92972a626,spotify,06NoAAaK5H8QFnJCRsIXTT,Los Angeles 2020,Panther Modern,2019-05-31,https://i.scdn.co/image/ab67616d0000b2735e9b6aa38db5a53501db9401,4,https://open.spotify.com/album/06NoAAaK5H8QFnJCRsIXTT,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,single,2024-10-28 18:03:52+00,5053760051213
70d2224c-00ca-48c0-b880-f74036d9c3f6,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0P1hdnE62qqoPJZYIZSZn2,The Other Side Of Make-Believe,Interpol,2022-07-15,https://i.scdn.co/image/ab67616d0000b2738d1e1d77ad62e898ac5462d0,11,https://open.spotify.com/album/0P1hdnE62qqoPJZYIZSZn2,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,191401187558
5efef6e9-050b-4827-9a07-f499390e78cc,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0RGxQa2UeQJxEDYcGUV3lr,Trinity (Deluxe),Eartheater,2022-11-18,https://i.scdn.co/image/ab67616d0000b27358148f3806e8cf07ffa1fb4d,17,https://open.spotify.com/album/0RGxQa2UeQJxEDYcGUV3lr,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,810072043429
4a12ec63-62a9-418c-b73c-df44c9cba027,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0RyezpNCj0HGTv2Mrwaat5,Paper Mâché Dream Balloon,King Gizzard & The Lizard Wizard,2015-11-13,https://i.scdn.co/image/ab67616d0000b273a229d529f40d090ecae2221e,12,https://open.spotify.com/album/0RyezpNCj0HGTv2Mrwaat5,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,880882156251
8f79d6a0-d106-4865-abc8-cc998442ee95,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0T76MIpjGDea7AZyBjqoPA,Nack Nostalgia,Royel Otis,2024-07-19,https://i.scdn.co/image/ab67616d0000b27322b8346ba68f65704ef221b9,1,https://open.spotify.com/album/0T76MIpjGDea7AZyBjqoPA,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,single,2024-10-28 18:03:52+00,0748777341949
5fa70c2f-cc3f-4bfb-90dc-bf4d22f0d188,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0TQG9HCLZGushGzSwvtxC1,Sign O' The Times (Super Deluxe Edition),Prince,2020-09-25,https://i.scdn.co/image/ab67616d0000b273d9cbdc170a8e0cf76735d3fa,92,https://open.spotify.com/album/0TQG9HCLZGushGzSwvtxC1,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,886448937784
87e3797b-364b-4659-bce6-35945ad3294f,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0Oiav6TR00OCsX68RgWojJ,The Other Side of Life: Piano Ballads,Beach Fossils,2021-11-19,https://i.scdn.co/image/ab67616d0000b2736f1b47dbba5abbfa49ee0eb0,8,https://open.spotify.com/album/0Oiav6TR00OCsX68RgWojJ,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,616967549881
e589b103-e7fe-4675-ace1-ea696889fc3c,96b71fbe-364c-49b7-aace-fba92972a626,spotify,0UjFhTcLYDBVeLZ8Dkx1X3,Loop the Loop,Bullion,2016-02-26,https://i.scdn.co/image/ab67616d0000b2730d00bd85cf5488aa7c06bcef,13,https://open.spotify.com/album/0UjFhTcLYDBVeLZ8Dkx1X3,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,2025-02-25 03:49:30.528+00,album,2024-10-28 18:03:52+00,5056032300477
